isbn_10,isbn_13,title,author,cover,publishers,number_of_pages
0307887898,9780307887894,The Lean Startup,Eric Ries,https://covers.openlibrary.org/b/id/7104760-M.jpg,Crown Business,336
0307353133,9780307353139,The 4-Hour Workweek,Timothy Ferris,https://covers.openlibrary.org/b/id/168311-M.jpg,Crown,320
0804139296,9780804139298,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,https://covers.openlibrary.org/b/id/7318839-M.jpg,Crown Business,195
0066620996,9780066620992,"Good to Great: Why Some Companies Make the Leap... and Others Don't",Jim Collins,https://covers.openlibrary.org/b/id/53111-M.jpg,Collins,320
0887307396,9780887307396,"Built to Last: Successful Habits of Visionary Companies",James Collins,https://covers.openlibrary.org/b/id/6970362-M.jpg,Collins,342
0743272455,9780743269513,"The 7 habits of highly effective people",Stephen R. Covey,https://covers.openlibrary.org/b/id/9195831-M.jpg,Free Press,384
0875845851,9780875845851,"The Innovator's Dilemma",Clayton M. Christensen,https://covers.openlibrary.org/b/id/9274687-M.jpg,Harvard Business School Press,252
0593070100,9780593070109,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,https://covers.openlibrary.org/b/id/8764983-M.jpg,Transworld Publishers Limited,284
1647820715,9781647820718,"Invent and Wander: The Collected Writings of Jeff Bezos",Jeff Bezos,https://covers.openlibrary.org/b/id/10229085-M.jpg,Harvard Business Review Press,256
0091929784,9780091929784,"Rework: Change the Way You Work Forever",Jason Fried,https://covers.openlibrary.org/b/id/6697833-M.jpg,Vermilion,288
0670899240,9780670899241,"Getting Things Done: The Art of Stress-Free Productivity",David Allen,https://covers.openlibrary.org/b/id/402818-M.jpg,Viking Adult,288
0061251305,9780061251306,"Tribal Leadership: Leveraging Natural Groups to Build a Thriving Organization",Dave Logan,https://covers.openlibrary.org/b/id/5506672-M.jpg,Collins,297
1250190444,9781250190444,"The Code of Trust: An American Counterintelligence Expert's Five Rules to Lead and Succeed",Robin Dreeke,https://covers.openlibrary.org/b/id/10290573-M.jpg,Griffin,384
0670026557,9780670026555,"Give and Take: A Revolutionary Approach to Success",Adam Grant,https://covers.openlibrary.org/b/id/8167467-M.jpg,Viking,320
1250235374,9781250235374,"Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity",Kim Malone Scott,https://covers.openlibrary.org/b/id/9130303-M.jpg,St. Martin's Press,297
0785274316,9780785274316,"The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You",John C. Maxwell,https://covers.openlibrary.org/b/id/537730-M.jpg,Thomas Nelson Publishers,233
0446576220,9780446576222,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,https://covers.openlibrary.org/b/id/8883881-M.jpg,Grand Central Publishing,272
0547636474,9780547636474,"Pati's Mexican Table: The Secrets of Real Mexican Home Cooking",Pati Jinich,https://covers.openlibrary.org/b/id/9375531-M.jpg,Houghton Mifflin Harcourt,288
0609603558,9780609603550,The Essential Cuisines of Mexico,Diana Kennedy,https://covers.openlibrary.org/b/id/390225-M.jpg,Clarkson Potter,544
0393050691,9780393050691,"Gran Cocina Latina: The Food of Latin America",Maricel E. Presilla,,Norton & Company,912
0399580573,9780399580574,"My Mexico City Kitchen: Recipes and Convictions",Gabriela Camara,https://covers.openlibrary.org/b/id/8808993-M.jpg,Lorena Jones Books,362
0553057065,9780553057065,"The Art of Mexican Cooking",Diana Kennedy,https://covers.openlibrary.org/b/id/367795-M.jpg,Bantam Books,526
0393241808,9780393241808,Mexican Everyday,Rick Bayless,https://covers.openlibrary.org/b/id/248121-M.jpg,Norton & Company,336
0470499559,9780470499559,"Truly Mexican: Essential Recipes and Techniques",Roberto Santibañez,https://covers.openlibrary.org/b/id/7272363-M.jpg,John Wiley & Sons,263
0446677450,9780446677455,"Rich dad, poor dad",Robert T. Kiyosaki,https://covers.openlibrary.org/b/id/10768560-M.jpg,Business Plus,207
0071385290,9780071385290,"The four pillars of investing",William J. Bernstein,https://covers.openlibrary.org/b/id/57827-M.jpg,McGraw Hill,240
0140267646,9780140267648,"La bolsa o la vida",Joe Dominguez,https://covers.openlibrary.org/b/id/2323727-M.jpg,Penguin,416
0857197681,9780857197689,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,https://covers.openlibrary.org/b/id/10389354-M.jpg,Harriman House,252
0140127925,9780140127925,"One up on Wall Street: How to use what you already know to make money in the market",Peter Lynch,https://covers.openlibrary.org/b/id/95047-M.jpg,Penguin Books,318
1847941370,9781847941374,"Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist",Kate Raworth,https://covers.openlibrary.org/b/id/10474034-M.jpg,Random House Business Books,384
0060752610,9780060752613,The Intelligent Investor,Benjamin Graham,https://covers.openlibrary.org/b/id/34538-M.jpg,Collins,623
0393358380,9780393358384,A Random Walk Down Wall Street,Burton G. Malkiel,https://covers.openlibrary.org/b/id/10328035-M.jpg,W. W. Norton & Company,464
0451205367,9780451205360,The Richest Man in Babylon,George S. Classon,https://covers.openlibrary.org/b/id/292916-M.jpg,Signet,194
0061241891,9780061241895,"Influence: The Psychology of Persuasion",Robert B. Cialdini,https://covers.openlibrary.org/b/id/9287020-M.jpg,Harper Collins Publishers,320
0671723650,9780671723650,"How to Win Friends and Influence People",Dale Carniege,https://covers.openlibrary.org/b/id/7895280-M.jpg,Pocket Books,276
0140157352,9780140157352,"Getting to Yes: Negotiating Agreement Without Giving In",Roger Fisher,https://covers.openlibrary.org/b/id/96165-M.jpg,Penguin Books,200
1591846285,9781591846284,"Trust Me, I'm Lying: Confessions of a Media Manipulator",Ryan Holiday,https://covers.openlibrary.org/b/id/9848880-M.jpg,Portfolio,259
0374275637,9780374275631,"Thinking, Fast and Slow",Daniel Kahneman,https://covers.openlibrary.org/b/id/7089298-M.jpg,"Farrar, Straus and Giroux",499
0061353231,9780061353239,"Predictably Irrational: The Hidden Forces That Shape Our Decisions",Dan Ariely,https://covers.openlibrary.org/b/id/2314080-M.jpg,Harper Collins,400
1524722741,9781524722746,"The Power of Habit: Why We Do What We Do in Life and Business",Charles Duhigg,https://covers.openlibrary.org/b/id/10830792-M.jpg,Random House,375
0593189647,9780593189641,"Atomic Habits: An Easy & Proven Way to Build Good Habits and Break Bad Ones",James Clear,https://covers.openlibrary.org/b/id/10457042-M.jpg,Penguin Random House,320
1449373321,9781449373320,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,https://covers.openlibrary.org/b/id/8434671-M.jpg,"O'Reilly Media",562
0132350882,9780132350882,"Clean code: A Handbook of Agile Software Craftsmanship",Robert C. Martin,https://covers.openlibrary.org/b/id/5547794-M.jpg,Prentice Hall,431
0201616221,9780201616224,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,https://covers.openlibrary.org/b/id/135412-M.jpg,Addison-Wesley Professional,321
0596007124,9780596007126,Head First Design Patterns,Eric Freeman,https://covers.openlibrary.org/b/id/388950-M.jpg,"O'Reilly",638
